2025-05-20 18:05:47,891 - __main__ - INFO - Starting detailed monitoring with interval 5s
2025-05-20 18:05:48,020 - __main__ - INFO - CPU: 55.2%, Memory: 84.5% (Available: 2.13 GB)
2025-05-20 18:05:48,021 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:05:53,090 - __main__ - INFO - CPU: 33.2%, Memory: 85.9% (Available: 1.94 GB)
2025-05-20 18:05:53,091 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:05:58,191 - __main__ - INFO - CPU: 37.5%, Memory: 88.1% (Available: 1.63 GB)
2025-05-20 18:05:58,191 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:03,304 - __main__ - INFO - CPU: 44.0%, Memory: 87.4% (Available: 1.73 GB)
2025-05-20 18:06:03,305 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:08,429 - __main__ - INFO - CPU: 45.1%, Memory: 91.1% (Available: 1.22 GB)
2025-05-20 18:06:08,430 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:13,548 - __main__ - INFO - CPU: 31.7%, Memory: 93.6% (Available: 0.88 GB)
2025-05-20 18:06:13,548 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:18,643 - __main__ - INFO - CPU: 37.6%, Memory: 94.1% (Available: 0.81 GB)
2025-05-20 18:06:18,643 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:23,817 - __main__ - INFO - CPU: 41.8%, Memory: 97.3% (Available: 0.37 GB)
2025-05-20 18:06:23,817 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:29,001 - __main__ - INFO - CPU: 40.2%, Memory: 91.8% (Available: 1.12 GB)
2025-05-20 18:06:29,001 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:34,122 - __main__ - INFO - CPU: 39.5%, Memory: 89.2% (Available: 1.48 GB)
2025-05-20 18:06:34,123 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:39,213 - __main__ - INFO - CPU: 30.9%, Memory: 91.3% (Available: 1.19 GB)
2025-05-20 18:06:39,214 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:44,296 - __main__ - INFO - CPU: 27.6%, Memory: 91.3% (Available: 1.19 GB)
2025-05-20 18:06:44,297 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:49,398 - __main__ - INFO - CPU: 40.6%, Memory: 93.7% (Available: 0.87 GB)
2025-05-20 18:06:49,399 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:54,495 - __main__ - INFO - CPU: 29.5%, Memory: 95.4% (Available: 0.63 GB)
2025-05-20 18:06:54,495 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:06:59,587 - __main__ - INFO - CPU: 36.2%, Memory: 90.7% (Available: 1.27 GB)
2025-05-20 18:06:59,587 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:07:04,707 - __main__ - INFO - CPU: 30.2%, Memory: 91.4% (Available: 1.18 GB)
2025-05-20 18:07:04,708 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:07:09,846 - __main__ - INFO - CPU: 37.6%, Memory: 93.3% (Available: 0.92 GB)
2025-05-20 18:07:09,847 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
2025-05-20 18:07:14,922 - __main__ - INFO - CPU: 40.9%, Memory: 95.0% (Available: 0.69 GB)
2025-05-20 18:07:14,923 - __main__ - INFO - GPU Memory: Allocated=0.00 GB, Reserved=0.00 GB, Utilization=0.0%
